city_id,city,pop,age,household,individual,house,rent,COLI
1188,"Canton, Georgia",27936,34.3,55113,24515,211759,1060,96.3
1189,"Chamblee, Georgia",29428,32.1,59908,30216,263259,1144,98.4
1190,"Kennesaw, Georgia",34344,33.3,65833,32578,188902,1249,96.1
1191,"LaGrange, Georgia",30472,34.4,30620,17981,141995,727,82.1
1192,"Lawrenceville, Georgia",29873,35.7,46308,24113,183413,993,95.9
1193,"Statesboro, Georgia",31379,23.2,26661,14229,120745,760,75.7
1194,"Woodstock, Georgia",31564,36.4,70064,35331,234679,1374,96.9
1195,"Plainfield, Indiana",32865,37.9,60156,31620,170588,971,88.0
1196,"Elizabethtown, Kentucky",30023,37.4,45267,31685,172348,749,84.9
1197,"Florence, Kentucky",32305,38.7,61099,29961,148863,857,87.7
1198,"Georgetown, Kentucky",33660,32.7,63856,27728,166922,817,88.2
1199,"Nicholasville, Kentucky",30553,36.0,49554,22447,151521,827,88.7
1200,"Gloucester, Massachusetts",30172,48.9,69840,38228,398833,1061,137.9
1201,"Savage, Minnesota",31352,36.5,111090,41003,306320,1189,112.3
1202,"Liberty, Missouri",31507,37.7,73027,35006,200390,893,86.4
1203,"Wentzville, Missouri",39414,33.9,67307,28582,201609,1031,88.3
1204,"Helena, Montana",31429,40.7,55644,34748,247662,760,88.1
1205,"Hilliard, Ohio",35939,36.1,95651,39541,236964,1071,95.5
1206,"Owasso, Oklahoma",36215,33.8,68339,27298,176469,988,87.1
1207,"Shawnee, Oklahoma",31232,35.3,42701,22908,112106,651,79.4
1208,"Redmond, Oregon",30011,38.3,56743,24571,276512,1050,99.5
1209,"Lebanon, Tennessee",32226,35.0,48972,24368,217005,892,88.6
1210,"Morristown, Tennessee",29771,36.8,35412,19939,122782,694,78.8
1211,"Cibolo, Texas",29249,34.4,81358,37204,276930,1723,90.4
1212,"Cleburne, Texas",30230,34.1,49683,24312,131679,878,93.9
1213,"Kyle, Texas",43480,31.8,69356,22622,182579,1454,93.4
1214,"Leander, Texas",49234,33.7,72100,29466,216197,1633,94.3
1215,"Midlothian, Texas",25254,33.0,70869,28615,191698,1157,93.7
1216,"Southlake, Texas",31824,42.7,185312,65905,709073,1427,97.0
1217,"Waxahachie, Texas",35340,32.3,61913,28132,175904,1008,93.7
1218,"Weatherford, Texas",30654,35.3,62852,33436,204094,1125,95.6
1219,"Herriman, Utah",39224,23.7,83273,29503,352016,1265,92.0
1220,"Holladay, Utah",30709,40.2,98206,55438,517705,1092,93.1
1221,"Kaysville, Utah",31776,29.9,90251,26878,306259,822,85.9
1222,"Midvale, Utah",33208,31.4,59292,27356,275952,1084,92.6
1223,"Springville, Utah",33294,25.0,71399,24453,281027,955,86.7
1224,"Syracuse, Utah",29507,28.7,87022,25868,294807,1598,89.3
1225,"Pullman, Washington",33354,22.1,32766,19809,284391,787,94.6
1226,"Fitchburg, Wisconsin",29485,34.8,70643,37996,311577,1010,97.3
1227,"Gillette, Wyoming",30560,31.5,74196,31876,215237,971,86.2
1228,"Elk Grove, California",171844,36.5,89404,33876,403300,1552,99.7
1229,"La Quinta, California",41304,46.7,80059,47434,435634,1452,82.5
1230,"San Clemente, California",65267,44.9,101743,54619,894500,1653,89.8
